계약일,단지명,전용면적,거래금액(만원),층,시군구
2022-07-19,한화 포레나 포항 2차,84.92,39850,12,경상북도 포항북구 흥해읍 학천리
2023-09-27,포항 푸르지오 마린시티,101.894237,43800,33,경상북도 포항남구 구룡포읍 하정리
2023-10-10,포항 푸르지오 마린시티,84.9826,35600,21,경상북도 포항남구 구룡포읍 하정리
2023-10-12,포항 푸르지오 마린시티,84.9826,35100,18,경상북도 포항남구 구룡포읍 하정리
2023-10-14,포항 푸르지오 마린시티,84.9826,35600,34,경상북도 포항남구 구룡포읍 하정리
2023-10-18,포항 푸르지오 마린시티,101.894237,43800,35,경상북도 포항남구 구룡포읍 하정리
2023-10-20,포항 푸르지오 마린시티,84.9826,34110,9,경상북도 포항남구 구룡포읍 하정리
2023-10-25,포항 푸르지오 마린시티,84.6348,35510,29,경상북도 포항남구 구룡포읍 하정리
2022-08-11,남포항 태왕아너스,84.8442,34130,13,경상북도 포항남구 오천읍 문덕리
2022-08-12,남포항 태왕아너스,69.67,29200,9,경상북도 포항남구 오천읍 문덕리
2022-08-12,남포항 태왕아너스,69.67,29680,9,경상북도 포항남구 오천읍 문덕리
2022-11-01,남포항 태왕아너스,69.67,29200,13,경상북도 포항북구 오천읍 문덕리
2022-11-01,남포항 태왕아너스,84.8442,34130,11,경상북도 포항남구 오천읍 문덕리
2022-01-03,포항 아이파크,84.51,35600,11,경상북도 포항남구 오천읍 용산리
2022-01-03,포항 아이파크,101.65,46870,17,경상북도 포항남구 오천읍 용산리
2022-01-03,포항 아이파크,84.51,35500,19,경상북도 포항남구 오천읍 용산리
2022-01-04,포항 아이파크,84.51,35600,19,경상북도 포항남구 오천읍 용산리
2022-01-04,포항 아이파크,75.91,32140,16,경상북도 포항남구 오천읍 용산리
2022-01-05,포항 아이파크,75.91,31990,10,경상북도 포항남구 오천읍 용산리
2022-01-05,포항 아이파크,84.51,35600,22,경상북도 포항남구 오천읍 용산리
2022-01-06,포항 아이파크,84.51,35550,19,경상북도 포항남구 오천읍 용산리
2022-01-08,포항 아이파크,84.51,35300,24,경상북도 포항남구 오천읍 용산리
2022-01-08,포항 아이파크,84.51,35600,25,경상북도 포항남구 오천읍 용산리
2022-01-08,포항 아이파크,84.51,35600,28,경상북도 포항남구 오천읍 용산리
2022-01-10,포항 아이파크,101.65,46790,19,경상북도 포항남구 오천읍 용산리
2022-01-10,포항 아이파크,101.65,46340,9,경상북도 포항남구 오천읍 용산리
2022-01-11,포항 아이파크,84.51,34640,2,경상북도 포항남구 오천읍 용산리
2022-01-12,포항 아이파크,84.51,35550,24,경상북도 포항남구 오천읍 용산리
2022-01-12,포항 아이파크,84.51,35600,15,경상북도 포항남구 오천읍 용산리
2022-01-13,포항 아이파크,84.51,35470,7,경상북도 포항남구 오천읍 용산리
2022-01-13,포항 아이파크,75.91,31990,25,경상북도 포항남구 오천읍 용산리
2022-01-13,포항 아이파크,84.51,35700,19,경상북도 포항남구 오천읍 용산리
2022-01-13,포항 아이파크,84.51,35600,26,경상북도 포항남구 오천읍 용산리
2022-01-14,포항 아이파크,75.91,31790,6,경상북도 포항남구 오천읍 용산리
2022-01-14,포항 아이파크,84.51,35600,17,경상북도 포항남구 오천읍 용산리
2022-01-15,포항 아이파크,84.51,35600,22,경상북도 포항남구 오천읍 용산리
2022-01-16,포항 아이파크,84.51,35600,24,경상북도 포항남구 오천읍 용산리
2022-01-20,포항 아이파크,84.51,35350,13,경상북도 포항남구 오천읍 용산리
2022-01-21,포항 아이파크,84.51,35600,23,경상북도 포항남구 오천읍 용산리
2022-01-21,포항 아이파크,84.51,35600,13,경상북도 포항남구 오천읍 용산리
2022-01-23,포항 아이파크,84.51,35600,22,경상북도 포항남구 오천읍 용산리
2022-01-24,포항 아이파크,84.51,35600,23,경상북도 포항남구 오천읍 용산리
2022-01-25,포항 아이파크,84.51,35600,11,경상북도 포항남구 오천읍 용산리
2022-01-25,포항 아이파크,84.51,35600,18,경상북도 포항남구 오천읍 용산리
2022-02-07,포항 아이파크,84.51,35470,8,경상북도 포항남구 오천읍 용산리
2022-02-07,포항 아이파크,84.51,35700,12,경상북도 포항남구 오천읍 용산리
2022-02-08,포항 아이파크,84.51,35170,5,경상북도 포항남구 오천읍 용산리
2022-02-08,포항 아이파크,101.65,46770,17,경상북도 포항남구 오천읍 용산리
2022-02-08,포항 아이파크,101.65,46770,12,경상북도 포항남구 오천읍 용산리
2022-02-12,포항 아이파크,84.51,35300,15,경상북도 포항남구 오천읍 용산리
2022-02-18,포항 아이파크,84.51,35300,22,경상북도 포항남구 오천읍 용산리
2022-02-18,포항 아이파크,84.51,35600,17,경상북도 포항남구 오천읍 용산리
2022-02-18,포항 아이파크,84.51,35600,26,경상북도 포항남구 오천읍 용산리
2022-02-19,포항 아이파크,101.65,45920,3,경상북도 포항남구 오천읍 용산리
2022-02-21,포항 아이파크,101.65,46920,12,경상북도 포항남구 오천읍 용산리
2022-02-21,포항 아이파크,84.51,35700,28,경상북도 포항남구 오천읍 용산리
2022-02-21,포항 아이파크,101.65,46770,22,경상북도 포항남구 오천읍 용산리
2022-02-21,포항 아이파크,101.65,46870,12,경상북도 포항남구 오천읍 용산리
2022-02-21,포항 아이파크,84.51,35600,19,경상북도 포항남구 오천읍 용산리
2022-02-22,포항 아이파크,84.51,35600,29,경상북도 포항남구 오천읍 용산리
2022-02-22,포항 아이파크,84.51,35470,21,경상북도 포항남구 오천읍 용산리
2022-02-22,포항 아이파크,101.65,46820,26,경상북도 포항남구 오천읍 용산리
2022-02-22,포항 아이파크,101.65,46970,21,경상북도 포항남구 오천읍 용산리
2022-02-22,포항 아이파크,84.51,35650,14,경상북도 포항남구 오천읍 용산리
2022-02-23,포항 아이파크,101.65,46870,11,경상북도 포항남구 오천읍 용산리
2022-02-23,포항 아이파크,101.65,46970,20,경상북도 포항남구 오천읍 용산리
2022-03-07,포항 아이파크,84.51,35600,27,경상북도 포항남구 오천읍 용산리
2022-03-09,포항 아이파크,101.65,46290,19,경상북도 포항남구 오천읍 용산리
2022-03-09,포항 아이파크,84.51,35300,28,경상북도 포항남구 오천읍 용산리
2022-03-10,포항 아이파크,84.51,35470,6,경상북도 포항남구 오천읍 용산리
2022-03-10,포항 아이파크,84.51,35700,11,경상북도 포항남구 오천읍 용산리
2022-03-11,포항 아이파크,84.51,35850,20,경상북도 포항남구 오천읍 용산리
2022-03-14,포항 아이파크,84.51,35370,5,경상북도 포항남구 오천읍 용산리
2022-03-15,포항 아이파크,84.51,35600,29,경상북도 포항남구 오천읍 용산리
2022-03-15,포항 아이파크,84.51,34700,17,경상북도 포항남구 오천읍 용산리
2022-03-19,포항 아이파크,84.99,34990,18,경상북도 포항남구 오천읍 용산리
2022-03-19,포항 아이파크,101.65,46770,19,경상북도 포항남구 오천읍 용산리
2022-03-21,포항 아이파크,101.65,46770,16,경상북도 포항남구 오천읍 용산리
2022-03-21,포항 아이파크,84.51,35500,17,경상북도 포항남구 오천읍 용산리
2022-03-22,포항 아이파크,84.51,35600,23,경상북도 포항남구 오천읍 용산리
2022-03-23,포항 아이파크,84.51,35300,22,경상북도 포항남구 오천읍 용산리
2022-03-25,포항 아이파크,84.51,35700,21,경상북도 포항남구 오천읍 용산리
2022-03-25,포항 아이파크,84.99,34970,8,경상북도 포항남구 오천읍 용산리
2022-03-25,포항 아이파크,84.51,35200,22,경상북도 포항남구 오천읍 용산리
2022-03-29,포항 아이파크,84.51,35500,15,경상북도 포항남구 오천읍 용산리
2022-04-01,포항 아이파크,84.51,35650,23,경상북도 포항남구 오천읍 용산리
2022-04-01,포항 아이파크,84.51,35550,22,경상북도 포항남구 오천읍 용산리
2022-04-08,포항 아이파크,84.51,35600,21,경상북도 포항남구 오천읍 용산리
2022-04-08,포항 아이파크,84.51,35600,15,경상북도 포항남구 오천읍 용산리
2022-04-11,포항 아이파크,84.51,35900,20,경상북도 포항남구 오천읍 용산리
2022-04-11,포항 아이파크,84.51,35600,24,경상북도 포항남구 오천읍 용산리
2022-04-12,포항 아이파크,101.65,46770,15,경상북도 포항남구 오천읍 용산리
2022-04-13,포항 아이파크,84.51,35700,19,경상북도 포항남구 오천읍 용산리
2022-04-14,포항 아이파크,84.51,35700,12,경상북도 포항남구 오천읍 용산리
2022-04-15,포항 아이파크,84.51,35600,15,경상북도 포항남구 오천읍 용산리
2022-04-15,포항 아이파크,84.51,36000,26,경상북도 포항남구 오천읍 용산리
2022-04-15,포항 아이파크,84.51,36100,15,경상북도 포항남구 오천읍 용산리
2022-04-15,포항 아이파크,84.51,35550,27,경상북도 포항남구 오천읍 용산리
2022-04-16,포항 아이파크,75.91,31790,8,경상북도 포항남구 오천읍 용산리
2022-04-18,포항 아이파크,84.51,35600,28,경상북도 포항남구 오천읍 용산리
2022-04-18,포항 아이파크,84.51,35550,28,경상북도 포항남구 오천읍 용산리
2022-04-18,포항 아이파크,84.51,35450,23,경상북도 포항남구 오천읍 용산리
2022-04-18,포항 아이파크,84.51,35550,24,경상북도 포항남구 오천읍 용산리
2022-04-19,포항 아이파크,84.51,35670,7,경상북도 포항남구 오천읍 용산리
2022-04-19,포항 아이파크,84.51,35900,14,경상북도 포항남구 오천읍 용산리
2022-04-19,포항 아이파크,84.51,35300,25,경상북도 포항남구 오천읍 용산리
2022-04-19,포항 아이파크,84.51,35800,7,경상북도 포항남구 오천읍 용산리
2022-04-19,포항 아이파크,84.51,35850,20,경상북도 포항남구 오천읍 용산리
2022-04-22,포항 아이파크,75.91,31990,10,경상북도 포항남구 오천읍 용산리
2022-04-24,포항 아이파크,84.51,35800,18,경상북도 포항남구 오천읍 용산리
2022-04-25,포항 아이파크,84.51,35700,23,경상북도 포항남구 오천읍 용산리
2022-04-27,포항 아이파크,101.65,46340,5,경상북도 포항남구 오천읍 용산리
2022-04-27,포항 아이파크,84.51,35300,28,경상북도 포항남구 오천읍 용산리
2022-04-28,포항 아이파크,84.51,35100,23,경상북도 포항남구 오천읍 용산리
2022-04-29,포항 아이파크,84.51,35420,7,경상북도 포항남구 오천읍 용산리
2022-04-29,포항 아이파크,84.51,35600,25,경상북도 포항남구 오천읍 용산리
2022-05-21,포항 아이파크,84.51,35300,10,경상북도 포항남구 오천읍 용산리
2022-06-02,포항 아이파크,84.51,35600,12,경상북도 포항남구 오천읍 용산리
2022-06-03,포항 아이파크,101.65,46720,20,경상북도 포항남구 오천읍 용산리
2022-06-10,포항 아이파크,84.51,35550,21,경상북도 포항남구 오천읍 용산리
2022-06-11,포항 아이파크,84.51,35300,17,경상북도 포항남구 오천읍 용산리
2022-06-13,포항 아이파크,84.51,34550,21,경상북도 포항남구 오천읍 용산리
2022-06-26,포항 아이파크,84.99,34990,22,경상북도 포항남구 오천읍 용산리
2022-06-27,포항 아이파크,84.99,32990,16,경상북도 포항남구 오천읍 용산리
2022-06-29,포항 아이파크,84.51,34890,2,경상북도 포항남구 오천읍 용산리
2022-06-30,포항 아이파크,101.65,46770,23,경상북도 포항남구 오천읍 용산리
2022-07-09,포항 아이파크,84.51,34200,16,경상북도 포항남구 오천읍 용산리
2022-07-17,포항 아이파크,84.51,35720,17,경상북도 포항남구 오천읍 용산리
2022-07-23,포항 아이파크,84.99,32990,22,경상북도 포항남구 오천읍 용산리
2022-07-23,포항 아이파크,84.99,34034,22,경상북도 포항남구 오천읍 용산리
2022-07-27,포항 아이파크,84.51,35600,13,경상북도 포항남구 오천읍 용산리
2022-08-05,포항 아이파크,101.65,46470,13,경상북도 포항남구 오천읍 용산리
2022-08-11,포항 아이파크,84.51,35300,24,경상북도 포항남구 오천읍 용산리
2022-09-14,포항 아이파크,84.51,36445,23,경상북도 포항남구 오천읍 용산리
2022-09-28,포항 아이파크,84.51,35300,24,경상북도 포항남구 오천읍 용산리
2022-10-08,포항 아이파크,84.51,35300,22,경상북도 포항남구 오천읍 용산리
2022-10-09,포항 아이파크,84.51,35785,2,경상북도 포항남구 오천읍 용산리
2022-10-11,포항 아이파크,75.91,31990,26,경상북도 포항남구 오천읍 용산리
2022-11-14,포항 아이파크,84.51,32170,8,경상북도 포항북구 오천읍 용산리
2023-01-02,포항 아이파크,84.51,35851,24,경상북도 포항북구 오천읍 용산리
2023-01-06,포항 아이파크,84.99,34640,5,경상북도 포항북구 오천읍 용산리
2023-01-11,포항 아이파크,101.65,46470,12,경상북도 포항북구 오천읍 용산리
2023-01-26,포항 아이파크,84.51,33851,20,경상북도 포항북구 오천읍 용산리
2023-02-13,포항 아이파크,84.51,33121,23,경상북도 포항북구 오천읍 용산리
2023-02-15,포항 아이파크,84.51,36562,11,경상북도 포항북구 오천읍 용산리
2023-02-28,포항 아이파크,84.51,31900,12,경상북도 포항북구 오천읍 용산리
2023-03-27,포항 아이파크,84.98,34960,21,경상북도 포항북구 오천읍 용산리
2023-03-30,포항 아이파크,84.51,31770,7,경상북도 포항북구 오천읍 용산리
2023-03-30,포항 아이파크,84.51,31900,10,경상북도 포항북구 오천읍 용산리
2023-04-12,포항 아이파크,84.51,31670,6,경상북도 포항북구 오천읍 용산리
2023-04-12,포항 아이파크,75.91,31990,29,경상북도 포항북구 오천읍 용산리
2023-04-12,포항 아이파크,84.51,35300,15,경상북도 포항북구 오천읍 용산리
2023-05-15,포항 아이파크,84.51,32900,27,경상북도 포항북구 오천읍 용산리
2023-05-23,포항 아이파크,84.51,35300,24,경상북도 포항북구 오천읍 용산리
2023-06-19,포항 아이파크,84.51,25300,23,경상북도 포항북구 오천읍 용산리
2023-06-22,포항 아이파크,84.51,35312,22,경상북도 포항북구 오천읍 용산리
2023-06-27,포항 아이파크,84.51,35500,26,경상북도 포항북구 오천읍 용산리
2023-07-03,포항 아이파크,84.51,35300,29,경상북도 포항북구 오천읍 용산리
2023-07-03,포항 아이파크,84.51,35300,28,경상북도 포항북구 오천읍 용산리
2023-07-06,포항 아이파크,84.51,35300,11,경상북도 포항북구 오천읍 용산리
2023-08-28,포항 아이파크,75.9101,31956,2,경상북도 포항남구 오천읍 용산리
2023-09-05,포항 아이파크,84.5134,35415,20,경상북도 포항남구 오천읍 용산리
2023-09-12,포항 아이파크,84.5134,35300,26,경상북도 포항남구 오천읍 용산리
2023-09-15,포항 아이파크,84.9827,34960,22,경상북도 포항남구 오천읍 용산리
2023-10-05,포항 아이파크,84.9827,36081,16,경상북도 포항남구 오천읍 용산리
2023-10-05,포항 아이파크,84.5134,35570,19,경상북도 포항남구 오천읍 용산리
2023-10-07,포항 아이파크,84.5134,33500,14,경상북도 포항남구 오천읍 용산리
2023-10-10,포항 아이파크,84.5134,35851,15,경상북도 포항남구 오천읍 용산리
2023-10-23,포항 아이파크,84.5134,34145,21,경상북도 포항남구 오천읍 용산리
2023-10-25,포항 아이파크,84.5134,33300,13,경상북도 포항남구 오천읍 용산리
2022-01-04,힐스테이트포항,74.8151,27611,11,경상북도 포항남구 오천읍 원리
2022-01-05,힐스테이트포항,84.8786,30562,5,경상북도 포항남구 오천읍 원리
2022-01-08,힐스테이트포항,74.8151,28711,11,경상북도 포항남구 오천읍 원리
2022-01-12,힐스테이트포항,84.8786,31430,9,경상북도 포항남구 오천읍 원리
2022-01-14,힐스테이트포항,59.9785,21430,8,경상북도 포항남구 오천읍 원리
2022-01-17,힐스테이트포항,74.8151,28038,15,경상북도 포항남구 오천읍 원리
2022-01-17,힐스테이트포항,74.8151,27391,15,경상북도 포항남구 오천읍 원리
2022-01-17,힐스테이트포항,74.6624,27276,17,경상북도 포항남구 오천읍 원리
2022-01-19,힐스테이트포항,84.9562,29499,9,경상북도 포항남구 오천읍 원리
2022-01-19,힐스테이트포항,74.6624,27246,15,경상북도 포항남구 오천읍 원리
2022-01-23,힐스테이트포항,74.8151,26091,15,경상북도 포항남구 오천읍 원리
2022-02-17,힐스테이트포항,59.9785,21725,8,경상북도 포항남구 오천읍 원리
2022-02-18,힐스테이트포항,59.9785,21725,8,경상북도 포항남구 오천읍 원리
2022-02-21,힐스테이트포항,84.8786,30833,11,경상북도 포항남구 오천읍 원리
2022-02-21,힐스테이트포항,74.9627,28024,16,경상북도 포항남구 오천읍 원리
2022-02-22,힐스테이트포항,84.8786,30833,13,경상북도 포항남구 오천읍 원리
2022-02-26,힐스테이트포항,74.8151,26621,7,경상북도 포항남구 오천읍 원리
2022-02-28,힐스테이트포항,84.9562,29239,6,경상북도 포항남구 오천읍 원리
2022-03-12,힐스테이트포항,84.8786,30477,3,경상북도 포항남구 오천읍 원리
2022-03-14,힐스테이트포항,84.8786,29499,4,경상북도 포항남구 오천읍 원리
2022-03-16,힐스테이트포항,74.8151,27391,16,경상북도 포항남구 오천읍 원리
2022-03-17,힐스테이트포항,59.9785,22919,16,경상북도 포항남구 오천읍 원리
2022-03-17,힐스테이트포항,74.8151,27553,7,경상북도 포항남구 오천읍 원리
2022-03-18,힐스테이트포항,84.8786,30430,7,경상북도 포항남구 오천읍 원리
2022-03-18,힐스테이트포항,59.9785,21725,9,경상북도 포항남구 오천읍 원리
2022-03-20,힐스테이트포항,74.8151,27341,16,경상북도 포항남구 오천읍 원리
